dsb_sense_id|slownet_synset_id
8260749|eng-30-00061219-v
8260745|eng-30-00061219-v
8260748|eng-30-00061219-v
8260750|eng-30-00061219-v
27159|eng-30-00061262-a
8271809|eng-30-00061262-a
30426|eng-30-00061262-a
34740|eng-30-00061262-a
8270861|eng-30-00061262-a
8280552|eng-30-00061528-b
8280550|eng-30-00061528-b
61298|eng-30-00061598-n
54201|eng-30-00061598-n
8280550|eng-30-00061677-b
8280553|eng-30-00061677-b
14342|eng-30-00061885-a
8269677|eng-30-00061885-a
8271065|eng-30-00061885-a
16817|eng-30-00061885-a
8271064|eng-30-00061885-a
27894|eng-30-00061885-a
8269675|eng-30-00061885-a
30426|eng-30-00061885-a
8272752|eng-30-00061885-a
34740|eng-30-00061885-a
8270861|eng-30-00061885-a
8280413|eng-30-00062330-b
8280414|eng-30-00062330-b
8280415|eng-30-00062330-b
8280416|eng-30-00062330-b
8280419|eng-30-00062330-b
8271809|eng-30-00062367-a
8277174|eng-30-00062367-a
8272836|eng-30-00062367-a
34740|eng-30-00062367-a
8270861|eng-30-00062367-a
8277565|eng-30-00062367-a
36907|eng-30-00062367-a
8313534|eng-30-00062671-n
8313536|eng-30-00062671-n
54113|eng-30-00062806-n
8295885|eng-30-00062806-n
8281878|eng-30-00062857-b
8318739|eng-30-00062857-b
8263630|eng-30-00064095-v
8263631|eng-30-00064095-v
21714|eng-30-00064479-a
36687|eng-30-00064479-a
8316834|eng-30-00064504-n
8316835|eng-30-00064504-n
16341|eng-30-00064787-a
21714|eng-30-00064787-a
8277285|eng-30-00065184-a
8277282|eng-30-00065184-a
76144|eng-30-00065216-n
99748|eng-30-00065216-n
22324|eng-30-00065488-a
8278193|eng-30-00065488-a
26067|eng-30-00065488-a
8274496|eng-30-00065488-a
8273801|eng-30-00065488-a
8278192|eng-30-00065488-a
844|eng-30-00065639-v
9064|eng-30-00065639-v
13732|eng-30-00065791-a
16807|eng-30-00065791-a
8271227|eng-30-00065791-a
26124|eng-30-00065791-a
8274816|eng-30-00065791-a
31649|eng-30-00065791-a
8271231|eng-30-00065791-a
36610|eng-30-00065791-a
8274809|eng-30-00065791-a
8155598|eng-30-00066025-v
1946|eng-30-00066025-v
8195570|eng-30-00066025-v
13732|eng-30-00066146-a
16807|eng-30-00066146-a
8271227|eng-30-00066146-a
26124|eng-30-00066146-a
8274816|eng-30-00066146-a
29040|eng-30-00066146-a
8271228|eng-30-00066146-a
31649|eng-30-00066146-a
8271231|eng-30-00066146-a
36610|eng-30-00066146-a
8274809|eng-30-00066146-a
27894|eng-30-00067038-a
31077|eng-30-00067038-a
40097|eng-30-00067265-b
42268|eng-30-00067265-b
8259472|eng-30-00067274-v
8259473|eng-30-00067274-v
8297163|eng-30-00067707-n
8297165|eng-30-00067707-n
2001|eng-30-00067999-v
2477|eng-30-00067999-v
7291|eng-30-00067999-v
271|eng-30-00068368-b
217|eng-30-00068368-b
8280270|eng-30-00069771-b
8280271|eng-30-00069771-b
8264973|eng-30-00069879-v
8265024|eng-30-00069879-v
8280270|eng-30-00069901-b
8280271|eng-30-00069901-b
8270531|eng-30-00070427-a
8270535|eng-30-00070427-a
8164075|eng-30-00070427-a
8164085|eng-30-00070427-a
8164092|eng-30-00070427-a
8185474|eng-30-00070816-v
8185493|eng-30-00070816-v
2574|eng-30-00070816-v
8257896|eng-30-00071178-v
8261305|eng-30-00071178-v
8257909|eng-30-00071242-a
8258668|eng-30-00071242-a
8269048|eng-30-00071456-b
8279464|eng-30-00071456-b
67977|eng-30-00072261-n
77251|eng-30-00072261-n
8257833|eng-30-00072989-v
8259008|eng-30-00072989-v
8279456|eng-30-00073033-b
8269072|eng-30-00073033-b
8269075|eng-30-00073033-b
8279460|eng-30-00073033-b
8269051|eng-30-00073033-b
8269073|eng-30-00073033-b
8269222|eng-30-00073761-a
8269226|eng-30-00073761-a
8297560|eng-30-00073828-n
8297559|eng-30-00073828-n
12815|eng-30-00073897-b
8269109|eng-30-00073897-b
8269114|eng-30-00073897-b
8269110|eng-30-00073897-b
8269112|eng-30-00073897-b
45848|eng-30-00073897-b
8281893|eng-30-00073897-b
12835|eng-30-00073897-b
46340|eng-30-00073897-b
8281996|eng-30-00073897-b
8259831|eng-30-00075021-v
8260171|eng-30-00075021-v
8259813|eng-30-00075021-v
8259830|eng-30-00075021-v
8259823|eng-30-00075021-v
8259833|eng-30-00075021-v
8267967|eng-30-00075021-v
8259814|eng-30-00075021-v
